iter	Logloss
0	0.6747397125
1	0.6571313606
2	0.6410601258
3	0.6256155509
4	0.6123682739
5	0.599449521
6	0.5876655377
7	0.5766143314
8	0.5664118045
9	0.5574313048
10	0.5488854464
11	0.540897543
12	0.5332969221
13	0.5261663366
14	0.5197601803
15	0.5135742187
16	0.5078653164
17	0.5027430782
18	0.4978240644
19	0.4934185694
20	0.4890625969
21	0.4851081
22	0.4815613116
23	0.4781760887
24	0.4753765449
25	0.4724860136
26	0.4696160695
27	0.4670735031
28	0.4646704941
29	0.4623106618
30	0.4602567158
31	0.458189933
32	0.4563290389
33	0.4546396245
34	0.4531164099
35	0.451369222
36	0.4498543876
37	0.4483714916
38	0.447073332
39	0.4457597198
40	0.4446388527
41	0.4434933133
42	0.4424067583
43	0.441286408
44	0.4403287534
45	0.4393978866
46	0.4386495923
47	0.4377309809
48	0.4369473573
49	0.4363259613
50	0.4356192776
51	0.4350840574
52	0.4345732028
53	0.4340542748
54	0.4334605222
55	0.4330870452
56	0.4325568467
57	0.4321036848
58	0.4315707414
59	0.4311150122
60	0.43070359
61	0.4303283691
62	0.4298644051
63	0.4295169245
64	0.4292242787
65	0.4287495447
66	0.4283223309
67	0.4280052871
68	0.4277088307
69	0.4274453138
70	0.427108038
71	0.4267742016
72	0.4265043228
73	0.426242792
74	0.4260310259
75	0.4257927789
76	0.4254292967
77	0.4251465167
78	0.4248720199
79	0.424634887
80	0.424314178
81	0.4241131172
82	0.4239145592
83	0.4237915523
84	0.4235239988
85	0.4233525352
86	0.4230518482
87	0.4228069164
88	0.4225584161
89	0.4223949614
90	0.4221540502
91	0.4219006897
92	0.4217222022
93	0.4214680182
94	0.4212182746
95	0.420966432
96	0.4207594291
97	0.4205279638
98	0.4204184073
99	0.4202157157
100	0.4200240524
101	0.4199004965
102	0.4196689505
103	0.4195088381
104	0.4193405232
105	0.4190474414
106	0.4188435227
107	0.4186233763
108	0.4184418048
109	0.4183456017
110	0.4181762695
111	0.4180024485
112	0.4178370077
113	0.4176770891
114	0.4174844732
115	0.4173191454
116	0.4171562397
117	0.4169952877
118	0.4168084846
119	0.4166431891
120	0.4164863546
121	0.4163542732
122	0.4161307683
123	0.4160141879
124	0.4158855135
125	0.4157686264
126	0.4156682736
127	0.4155209657
128	0.4154159465
129	0.4153873827
130	0.4152838813
131	0.4151695615
132	0.4150186206
133	0.414796472
134	0.4146868025
135	0.414618808
136	0.4144507514
137	0.4143389828
138	0.4142367247
139	0.4140120087
140	0.4138436131
141	0.4136999544
142	0.4135099381
143	0.4133898861
144	0.4133235064
145	0.4132049399
146	0.4131165358
147	0.4130222543
148	0.4128077916
149	0.4127225038
150	0.4125906324
151	0.4124962216
152	0.4123893617
153	0.4122858603
154	0.4121719441
155	0.4120995254
156	0.4119932952
157	0.4118848851
158	0.4117381101
159	0.4116116801
160	0.4115020106
161	0.4112971392
162	0.4111750043
163	0.4111094803
164	0.4109963715
165	0.4108877999
166	0.4107407989
167	0.4105888891
168	0.4104501876
169	0.4103816118
170	0.4102784495
171	0.4101682471
172	0.4100655046
173	0.4099541397
174	0.4098342976
175	0.4097315228
176	0.4096045439
177	0.4094708962
178	0.4092928932
179	0.4091855811
180	0.4091095778
181	0.4089920448
182	0.4088689249
183	0.4087572209
184	0.4086727889
185	0.4086114147
186	0.4085332315
187	0.4083907354
188	0.4082738321
189	0.4081046937
190	0.4080030007
191	0.4079148873
192	0.4078249815
193	0.4077299572
194	0.4076120528
195	0.4075421046
196	0.4074494538
197	0.4073533316
198	0.4072358308
199	0.4071538047
200	0.4070763966
201	0.406975511
202	0.406894373
203	0.4067753706
204	0.4066647484
205	0.4065611017
206	0.4064384985
207	0.4063185919
208	0.4061855094
209	0.4060495044
210	0.4059614232
211	0.4058262739
212	0.4057614927
213	0.4055609809
214	0.4054984279
215	0.4054121229
216	0.405281737
217	0.4051315065
218	0.4050291031
219	0.4048426714
220	0.4047670718
221	0.4047436104
222	0.4046855785
223	0.4045862753
224	0.4044776392
225	0.4043669847
226	0.4042143322
227	0.4041462086
228	0.4040308554
229	0.4039110456
230	0.4037355292
231	0.4035893193
232	0.403506615
233	0.4034301273
234	0.4032292119
235	0.4030919151
236	0.4030525006
237	0.4029379547
238	0.402924795
239	0.4028761445
240	0.4027523303
241	0.4026759395
242	0.402590684
243	0.4025166829
244	0.4023998765
245	0.4022844103
246	0.4021399442
247	0.4020435797
248	0.4019292599
249	0.4017969525
250	0.4016784022
251	0.4015896429
252	0.4015159001
253	0.4014375555
254	0.4013521548
255	0.4012331039
256	0.4011790119
257	0.4011005058
258	0.4009916114
259	0.4009441234
260	0.4008208906
261	0.4006979322
262	0.4006033277
263	0.4005101441
264	0.4004702452
265	0.4003261506
266	0.4001133349
267	0.4000332948
268	0.3998838233
269	0.3997971954
270	0.3996993453
271	0.3995939224
272	0.3994669758
273	0.3993599705
274	0.3992779767
275	0.3992107734
276	0.3991184457
277	0.3989952451
278	0.3988979118
279	0.3988419144
280	0.3987518311
281	0.3986254172
282	0.3985385632
283	0.3984323653
284	0.3983083735
285	0.3980818653
286	0.3979285346
287	0.3978300064
288	0.3977294115
289	0.3976496298
290	0.3975094588
291	0.3974347796
292	0.3972629608
293	0.397172829
294	0.3970521957
295	0.3969395229
296	0.3968372325
297	0.3967540438
298	0.3965979198
299	0.3964565862
300	0.3963765947
301	0.3963003007
302	0.3962133337
303	0.3961431433
304	0.396009754
305	0.3958788836
306	0.3958368049
307	0.3957154774
308	0.3955956353
309	0.3954373476
310	0.3953374469
311	0.3952559214
312	0.3951243406
313	0.3950625949
314	0.3949624682
315	0.3948720781
316	0.3948250745
317	0.3947649436
318	0.3946567434
319	0.3945158943
320	0.3944354991
321	0.3943094566
322	0.3941514434
323	0.3940743583
324	0.3939919447
325	0.3938989387
326	0.3938038337
327	0.3936812466
328	0.3935447087
329	0.3934357174
330	0.3932987435
331	0.3931754299
332	0.3930154467
333	0.3928692692
334	0.392736994
335	0.3926361568
336	0.3925708105
337	0.3924940483
338	0.3924304942
339	0.3923037251
340	0.3922041959
341	0.3920410964
342	0.3919002634
343	0.3917596726
344	0.3916589808
345	0.3915942641
346	0.391482334
347	0.3913109028
348	0.3911890423
349	0.3910860576
350	0.3910253131
351	0.3909648593
352	0.3908872574
353	0.3907736642
354	0.3906196715
355	0.3905057715
356	0.3903959728
357	0.3902603715
358	0.3901017446
359	0.3899825646
360	0.3898662587
361	0.3897441884
362	0.3896498907
363	0.3894837879
364	0.3894361869
365	0.3893017643
366	0.3892079348
367	0.3890726725
368	0.3889511996
369	0.3887967226
370	0.3886498184
371	0.388556441
372	0.3884349359
373	0.3883079892
374	0.3882082985
375	0.3880689348
376	0.3879929315
377	0.3878608986
378	0.3877028208
379	0.3875957509
380	0.3874833203
381	0.3874105464
382	0.3872479636
383	0.38710663
384	0.3870671994
385	0.3869657971
386	0.3868601481
387	0.3866676129
388	0.3865062895
389	0.3863793267
390	0.3862829461
391	0.3860881664
392	0.386002588
393	0.3859100503
394	0.3858060484
395	0.3856300314
396	0.3855183435
397	0.3854075921
398	0.3852698755
399	0.3852171237
400	0.3850390237
401	0.3849386064
402	0.3848049103
403	0.3847662709
404	0.3846299267
405	0.3844980714
406	0.3843484223
407	0.3842999009
408	0.3841209936
409	0.3840172985
410	0.3839218059
411	0.3838545865
412	0.383740638
413	0.3835801866
414	0.3834079964
415	0.3833428761
416	0.38318081
417	0.3831039994
418	0.3829979629
419	0.3828318439
420	0.3827595706
421	0.3826312676
422	0.3824702833
423	0.3823556406
424	0.3822226873
425	0.3821042015
426	0.3820369014
427	0.3819310103
428	0.3818329342
429	0.3817047604
430	0.3815948163
431	0.3815102391
432	0.3813760424
433	0.3812436543
434	0.3811902727
435	0.3810668945
436	0.380943484
437	0.3808490087
438	0.380755809
439	0.3806783848
440	0.3805514704
441	0.3803977361
442	0.3802882765
443	0.3800800949
444	0.3799956307
445	0.3798856221
446	0.3797247347
447	0.3796201514
448	0.3795655104
449	0.3794969024
450	0.379375704
451	0.3792842804
452	0.3791176609
453	0.3790178733
454	0.3789732756
455	0.3788865508
456	0.3788019574
457	0.3786202728
458	0.3785632583
459	0.3784554941
460	0.378378086
461	0.3782761508
462	0.3782176507
463	0.3781168297
464	0.3780085811
465	0.3779310115
466	0.3777606137
467	0.3777367324
468	0.3776278057
469	0.3775519477
470	0.3774612992
471	0.3773502572
472	0.3772594311
473	0.3771271398
474	0.3770076691
475	0.3768538702
476	0.3766772881
477	0.3765782593
478	0.3764402359
479	0.3763700132
480	0.376274343
481	0.376187812
482	0.3760929007
483	0.3759898675
484	0.3758976205
485	0.3757227176
486	0.3756278063
487	0.3754737491
488	0.375371055
489	0.3752522948
490	0.3750934742
491	0.3749470544
492	0.3748691781
493	0.3747103575
494	0.3746795654
495	0.3746679397
496	0.3745780662
497	0.3745109114
498	0.3744522498
499	0.3743599221
500	0.3742391758
501	0.3741253242
502	0.3740222265
503	0.3739208726
504	0.3738263004
505	0.3737269164
506	0.3736052337
507	0.3734939979
508	0.373437936
509	0.373319757
510	0.3732019172
511	0.373156157
512	0.3730745992
513	0.3730212822
514	0.3729881166
515	0.372838645
516	0.3726672783
517	0.3725207293
518	0.3724038583
519	0.3722734401
520	0.3721540502
521	0.3721034459
522	0.3719649542
523	0.3718255744
524	0.3717066528
525	0.3716331522
526	0.3716012783
527	0.3715395811
528	0.3714716028
529	0.3713701198
530	0.3712877708
531	0.3711500703
532	0.371065606
533	0.3709025065
534	0.3708197215
535	0.3706583659
536	0.3705589819
537	0.3704009364
538	0.3702959979
539	0.3701902682
540	0.3700810831
541	0.3699923722
542	0.3699000121
543	0.369843595
544	0.3697226227
545	0.3696616359
546	0.3695432633
547	0.3694136524
548	0.3693230523
549	0.3692741111
550	0.3691191335
551	0.3690196365
552	0.3689413081
553	0.3688288774
554	0.368757363
555	0.3686893362
556	0.3686134944
557	0.3684824949
558	0.3684335214
559	0.3683362042
560	0.3682471543
561	0.3681908179
562	0.3681134744
563	0.3679622428
564	0.3678674769
565	0.3678207801
566	0.367681578
567	0.3675606541
568	0.3674440899
569	0.3673389738
570	0.3672381527
571	0.3671402866
572	0.3670766679
573	0.3669365615
574	0.366845025
575	0.3667373254
576	0.3666543628
577	0.3666345667
578	0.3665551403
579	0.3664202978
580	0.3663386915
581	0.3662807081
582	0.3661861036
583	0.3661260696
584	0.3660785493
585	0.3659541377
586	0.3658906967
587	0.3658044563
588	0.3656580365
589	0.365554858
590	0.3654706037
591	0.3653205508
592	0.3652456778
593	0.3651589853
594	0.3650699192
595	0.3650067365
596	0.3648854735
597	0.3648365001
598	0.3647376812
599	0.3645911807
600	0.3645546565
601	0.3644700954
602	0.3643171038
603	0.3642354329
604	0.3641438641
605	0.3639988329
606	0.3638911333
607	0.3638334567
608	0.363764994
609	0.3636975485
610	0.3636333486
611	0.3635118273
612	0.3633695088
613	0.3632338105
614	0.3631508963
615	0.3631255458
616	0.3629537915
617	0.3628202085
618	0.362740992
619	0.3626897903
620	0.3625443554
621	0.3624560159
622	0.362400067
623	0.3622880239
624	0.3622044962
625	0.3620874798
626	0.3619691879
627	0.3619081366
628	0.3618565635
629	0.3618320526
630	0.3616830816
631	0.3615916419
632	0.3614891577
633	0.3613568987
634	0.3613009983
635	0.3611590027
636	0.3610870846
637	0.3609630928
638	0.3608629984
639	0.3608058062
640	0.3607065514
641	0.3606160482
642	0.3605272566
643	0.3604018438
644	0.360320399
645	0.3602647247
646	0.3602027853
647	0.3601061624
648	0.3599704964
649	0.3598619895
650	0.3597928002
651	0.3596694866
652	0.359564871
653	0.3594815693
654	0.3593458549
655	0.3593116074
656	0.3591833367
657	0.3591191529
658	0.3590324281
659	0.3589042865
660	0.3587931154
661	0.35869885
662	0.3586097677
663	0.3585775063
664	0.3584924769
665	0.358432249
666	0.3583655302
667	0.3582291376
668	0.3581494367
669	0.3581063407
670	0.3580106705
671	0.3579339244
672	0.3578373985
673	0.3577392578
674	0.3576497396
675	0.3575672291
676	0.3574533775
677	0.3573501183
678	0.3572021807
679	0.357107657
680	0.3570039779
681	0.3569422969
682	0.3568615141
683	0.3567756612
684	0.3566632468
685	0.3565304388
686	0.3564110004
687	0.3563451535
688	0.3562018177
689	0.3560697364
690	0.3559933617
691	0.3559562885
692	0.3558159076
693	0.3556957588
694	0.3556474958
695	0.3555489353
696	0.3554748051
697	0.3554578347
698	0.3553584185
699	0.3553188909
700	0.3552615857
701	0.3551774282
702	0.3551174265
703	0.3550427472
704	0.3549105367
705	0.3548421708
706	0.3547883372
707	0.3546746794
708	0.3545978203
709	0.3545304233
710	0.3545104335
711	0.3544244837
712	0.3543014446
713	0.3542678106
714	0.354231238
715	0.354190564
716	0.3541020792
717	0.3540412862
718	0.3539694327
719	0.3538810447
720	0.3537586031
721	0.3536467376
722	0.3535989267
723	0.3534655859
724	0.3534018542
725	0.3532920716
726	0.3532398365
727	0.3531933335
728	0.3531019584
729	0.3530223382
730	0.3529461412
731	0.3528801166
732	0.3528089897
733	0.3527169687
734	0.3526497493
735	0.3525699999
736	0.3524627524
737	0.3523354828
738	0.3522568799
739	0.3521665058
740	0.3520638602
741	0.3519337811
742	0.3517984057
743	0.3517003619
744	0.3516407477
745	0.3515744002
746	0.3514887088
747	0.3513671714
748	0.351222011
749	0.3511242902
750	0.3510140717
751	0.3509100374
752	0.350774985
753	0.350702534
754	0.3506719196
755	0.3506402556
756	0.3505628798
757	0.3505031848
758	0.3503906896
759	0.3502799544
760	0.3501862057
761	0.3500559005
762	0.3500001615
763	0.3498731664
764	0.3498228043
765	0.3497289425
766	0.3496309795
767	0.3495403633
768	0.3494513618
769	0.349330454
770	0.3491585383
771	0.349033933
772	0.3489218253
773	0.3488554294
774	0.3487432571
775	0.3486018428
776	0.3485060434
777	0.3483912392
778	0.3482784534
779	0.3482371335
780	0.3481739831
781	0.3480462776
782	0.3479300524
783	0.3478320894
784	0.3477416023
785	0.3476689737
786	0.3475616455
787	0.3474748238
788	0.3474269161
789	0.3473471021
790	0.3472380784
791	0.3471393565
792	0.3470434441
793	0.3470024472
794	0.3468998823
795	0.3468046965
796	0.346737348
797	0.3466203801
798	0.3464695037
799	0.3463752545
800	0.3462487599
801	0.3462225374
802	0.3461975744
803	0.3461341333
804	0.3460819789
805	0.345944004
806	0.3458614612
807	0.3458395983
808	0.3457501124
809	0.3456666331
810	0.345589774
811	0.3455279476
812	0.3454885331
813	0.3453859521
814	0.3452651412
815	0.3451702461
816	0.3450909973
817	0.3449929858
818	0.3449089252
819	0.3448364419
820	0.3447889863
821	0.3446785417
822	0.3446137282
823	0.3445025247
824	0.344414605
825	0.3443141392
826	0.3442309829
827	0.3441357809
828	0.3440764251
829	0.344024529
830	0.3439226907
831	0.3438527748
832	0.3437463185
833	0.3436868496
834	0.3436425103
835	0.3435324694
836	0.3434257871
837	0.3432722465
838	0.3431981808
839	0.3431625124
840	0.3430669714
841	0.3430430902
842	0.3429906774
843	0.3428129166
844	0.3427352663
845	0.3426491712
846	0.3425821133
847	0.342486217
848	0.3423727046
849	0.3422868194
850	0.3421253669
851	0.3420422105
852	0.3419639789
853	0.341848771
854	0.3417295103
855	0.3416402181
856	0.3415305001
857	0.3414662356
858	0.3413595856
859	0.341312033
860	0.3412453303
861	0.3411826159
862	0.3411107462
863	0.3410567995
864	0.3410203237
865	0.3409593693
866	0.3408369599
867	0.3407618931
868	0.3406851471
869	0.3405964039
870	0.3404936937
871	0.3404548605
872	0.3403563646
873	0.3402729822
874	0.3402246384
875	0.3401117718
876	0.3400838378
877	0.3399912355
878	0.3398670661
879	0.3397373421
880	0.3396881588
881	0.3396141093
882	0.3395449199
883	0.3394350889
884	0.3393175559
885	0.3392339313
886	0.3391743655
887	0.33910868
888	0.3389832512
889	0.3388229128
890	0.3387286474
891	0.3386322183
892	0.3385396322
893	0.3384370511
894	0.3383491799
895	0.3382449034
896	0.3380706787
897	0.3380094659
898	0.3379355617
899	0.3378628362
900	0.3377633877
901	0.3376737403
902	0.3375612612
903	0.3374962378
904	0.3373919613
905	0.337290446
906	0.3372195128
907	0.3371483212
908	0.3370293188
909	0.3369848181
910	0.3369006606
911	0.336792848
912	0.3367450855
913	0.3366978882
914	0.3365784176
915	0.3364919188
916	0.3363975404
917	0.3362901799
918	0.3361573073
919	0.3360360443
920	0.3359248409
921	0.3358801625
922	0.3357932116
923	0.3357273485
924	0.3356803934
925	0.3356271088
926	0.3355316324
927	0.3354306821
928	0.3353483654
929	0.3352663555
930	0.3351432841
931	0.3350763876
932	0.3349443385
933	0.3348746809
934	0.334805976
935	0.3346617845
936	0.3346056903
937	0.3345064516
938	0.3343891769
939	0.3343329697
940	0.3342330367
941	0.3341370113
942	0.3340916225
943	0.3339829864
944	0.3339179306
945	0.3338099727
946	0.3336984786
947	0.3336035189
948	0.3335611656
949	0.3335164711
950	0.3334572444
951	0.3333587162
952	0.3332406826
953	0.3331841363
954	0.3330917116
955	0.3330247667
956	0.3329191016
957	0.3328462954
958	0.332792381
959	0.3326887989
960	0.3325654368
961	0.3324260086
962	0.3323407208
963	0.3322080098
964	0.3321336696
965	0.3320472677
966	0.3319599616
967	0.3318539251
968	0.3317981054
969	0.3317019669
970	0.3316687528
971	0.3315921683
972	0.3314876334
973	0.3313879104
974	0.3313048671
975	0.3312113605
976	0.3311662946
977	0.3311090701
978	0.3310615499
979	0.3309956868
980	0.3309182465
981	0.3308980145
982	0.3308151164
983	0.330703913
984	0.3306141687
985	0.3305147686
986	0.3304215527
987	0.3303509909
988	0.3302742125
989	0.330220718
990	0.3301532079
991	0.3301031526
992	0.3299971808
993	0.329911118
994	0.3297902264
995	0.3297151111
996	0.3296394469
997	0.3294980811
998	0.3294498181
999	0.3293355306
